ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,label
10050,ST VINCENTS BLOUNT,150 GILBREATH DRIVE,ONEONTA,AL,35121,BLOUNT,2052743000,Acute Care Hospitals,0.0
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Acute Care Hospitals,1.0
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,2056208100,Acute Care Hospitals,1.0
10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,3347742601,Acute Care Hospitals,1.0
10029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,LEE,3347493411,Acute Care Hospitals,1.0
10022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,35631,CHEROKEE,2569275531,Acute Care Hospitals,0.0
10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,MONTGOMERY,3342938000,Acute Care Hospitals,1.0
10029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,LEE,3347493411,Acute Care Hospitals,0.0
10046,RIVERVIEW REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,GADSDEN,AL,35901,ETOWAH,2565435200,Acute Care Hospitals,0.0
10049,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,3342882100,Acute Care Hospitals,0.0
10047,CRENSHAW COMMUNITY HOSPITAL,515 MIRANDA ST,GEORGIANA,AL,36033,BUTLER,3343762205,Acute Care Hospitals,0.0
10021,FAYETTE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,3347742601,Acute Care Hospitals,0.0
10050,ST VINCENTS BLOUNT,150 GILBREATH DRIVE,CLANTON,AL,35121,BLOUNT,2052743000,Acute Care Hospitals,0.0
10029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,LEE,3347493411,Acute Care Hospitals,1.0
10015,SOUTHWEST ALABAMA MEDICAL CENTER,33700 HIGHWAY 43,THOMASVILLE,AL,36784,CLARKE,3346366221,Acute Care Hospitals,0.0
10047,GEORGIANA HOSPITAL,515 MIRANDA ST,GEORGIANA,AL,36033,BUTLER,3343762205,Acute Care Hospitals,1.0
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,3342882100,Acute Care Hospitals,0.0
10032,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,WEDOWEE,AL,36278,RANDOLPH,2563572111,Acute Care Hospitals,1.0
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,Acute Care Hospitals,1.0
10029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,LEE,3347493411,Acute Care Hospitals,1.0
10022,,209 NORTH MAIN STREET,WEDOWEE,AL,36278,RANDOLPH,2563572111,Acute Care Hospitals,0.0
10018,CALLAHAN EYE FOUNDATION HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Acute Care Hospitals,1.0
10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,MONTGOMERY,3342938000,Acute Care Hospitals,1.0
10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,35150,TALLADEGA,2562495000,Acute Care Hospitals,0.0
10032,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,WEDOWEE,AL,36278,MARSHALL,2563572111,Acute Care Hospitals,0.0
10005,RUSSELLVILLE HOSPITAL,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Acute Care Hospitals,0.0
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Acute Care Hospitals,1.0
10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,35150,TALLADEGA,2562495000,Acute Care Hospitals,1.0
10032,GEORGIANA HOSPITAL,209 NORTH MAIN STREET,WEDOWEE,AL,36278,RANDOLPH,2563572111,Acute Care Hospitals,0.0
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Acute Care Hospitals,1.0
10009,HARTSELLE MEDICAL CENTER,201 PINE STREET NORTHWEST,GADSDEN,AL,35640,MORGAN,2567736511,Acute Care Hospitals,0.0
10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,3343470584,Acute Care Hospitals,1.0
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,3342882100,Acute Care Hospitals,1.0
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36302,HOUSTON,3347938701,Acute Care Hospitals,1.0
10050,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,CALHOUN,2562358900,Acute Care Hospitals,0.0
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567688400,Acute Care Hospitals,1.0
10022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,MONTGOMERY,AL,35960,CHEROKEE,2569275531,Acute Care Hospitals,0.0
10024,JACKSON HOSPITAL & CLINIC INC,400 N EDWARDS STREET,MONTGOMERY,AL,36106,MONTGOMERY,3342938000,Acute Care Hospitals,0.0
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,36201,ETOWAH,2564944000,Acute Care Hospitals,0.0
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,2564944000,Acute Care Hospitals,1.0
10023,UNIVERSITY OF ALABAMA HOSPITAL,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,3342882100,Acute Care Hospitals,0.0
10027,ANDALUSIA REGIONAL HOSPITAL,987 DRAYTON STREET,ELBA,AL,36323,COFFEE,3348972257,Acute Care Hospitals,0.0
10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,MADISON,2562651000,Acute Care Hospitals,1.0
10025,G H LANIER MEMORIAL HOSPITAL,4800 48TH ST,VALLEY,AL,36854,CHAMBERS,3347561400,Acute Care Hospitals,0.0
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567688400,Acute Care Hospitals,1.0
10007,MIZELL MEMORIAL HOSPITAL,2451 FILLINGIM STREET,OPP,AL,36467,COVINGTON,3344933541,Acute Care Hospitals,0.0
10015,SOUTHWEST ALABAMA MEDICAL CENTER,33700 HIGHWAY 43,THOMASVILLE,AL,36784,CLARKE,3346366221,Acute Care Hospitals,0.0
10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36106,CALHOUN,2562358900,Acute Care Hospitals,0.0
20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,ANCHORAGE,9072761131,Acute Care Hospitals,1.0
10005,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,2564944000,,0.0
10045,GEORGIANA HOSPITAL,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,FAYETTE,2059325966,Acute Care Hospitals,0.0
10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,FAYETTE,2059325966,Acute Care Hospitals,1.0
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567688400,Acute Care Hospitals,1.0
10032,WEDOWEE HOSPITAL,1000 FIRST STREET NORTH,WEDOWEE,AL,36278,RANDOLPH,2563572111,Acute Care Hospitals,0.0
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Acute Care Hospitals,1.0
10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,AUTAUGA,3343353374,Acute Care Hospitals,0.0
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Acute Care Hospitals,1.0
10087,UNIV OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,MOBILE,AL,36617,MOBILE,2514717110,Acute Care Hospitals,1.0
10007,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,MONTGOMERY,3342938000,Acute Care Hospitals,0.0
10047,GEORGIANA HOSPITAL,515 MIRANDA ST,GEORGIANA,AL,36033,BUTLER,3343762205,Acute Care Hospitals,1.0
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,Acute Care Hospitals,1.0
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Acute Care Hospitals,1.0
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,2059325966,Acute Care Hospitals,0.0
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,3342882100,Acute Care Hospitals,1.0
10086,UNIVERSITY OF ALABAMA HOSPITAL,1530 U S HIGHWAY 43,WINFIELD,AL,35594,MARION,2054877736,Acute Care Hospitals,0.0
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Acute Care Hospitals,1.0
20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,WINFIELD,AK,99508,ANCHORAGE,9072761131,Acute Care Hospitals,0.0
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,ETOWAH,2565435200,Acute Care Hospitals,1.0
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Acute Care Hospitals,1.0
10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Acute Care Hospitals,1.0
10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,CALHOUN,2562358900,Acute Care Hospitals,1.0
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Acute Care Hospitals,1.0
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,2056208100,Acute Care Hospitals,1.0
10047,GEORGIANA HOSPITAL,515 MIRANDA ST,GEORGIANA,AL,36033,BUTLER,3343762205,Acute Care Hospitals,1.0
10025,G H LANIER MEMORIAL HOSPITAL,4800 48TH ST,VALLEY,AL,36854,CHAMBERS,2568453150,Acute Care Hospitals,0.0
10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,AUTAUGA,3343614267,Acute Care Hospitals,1.0
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,ANCHORAGE,AL,35968,DE KALB,2568453150,Acute Care Hospitals,0.0
10027,GEORGIANA HOSPITAL,987 DRAYTON STREET,ELBA,AL,36323,COFFEE,3348972257,Acute Care Hospitals,0.0
10015,SOUTHWEST ALABAMA MEDICAL CENTER,33700 HIGHWAY 43,THOMASVILLE,AL,36323,CLARKE,3346366221,Acute Care Hospitals,0.0
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,3348972257,Acute Care Hospitals,0.0
10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,CALHOUN,2562358900,Acute Care Hospitals,1.0
10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,AUTAUGA,3343614267,Acute Care Hospitals,0.0
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567688400,Acute Care Hospitals,1.0
10015,SOUTHWEST ALABAMA MEDICAL CENTER,33700 HIGHWAY 43,THOMASVILLE,AL,36784,CLARKE,3346366221,Acute Care Hospitals,1.0
10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,JEFFERSON,2563864556,Acute Care Hospitals,1.0
10036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,WEDOWEE,AL,36420,COVINGTON,3342228466,Acute Care Hospitals,0.0
10056,ST VINCENTS HOSPITAL,810 ST VINCENTS DRIVE,BOAZ,AL,35205,JEFFERSON,2059397000,Acute Care Hospitals,0.0
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36302,HOUSTON,3347938701,Acute Care Hospitals,1.0
10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,MONTGOMERY,3342938000,Acute Care Hospitals,1.0
10045,FAYETTE MEDICAL CENTER,126 HOSPITAL AVE,FAYETTE,AL,35555,FAYETTE,2059325966,Acute Care Hospitals,0.0
10018,CALLAHAN EYE FOUNDATION HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,AL,35233,MARSHALL,2053258100,Acute Care Hospitals,0.0
10029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,COVINGTON,3347493411,Acute Care Hospitals,0.0
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,2564944000,Acute Care Hospitals,1.0
10036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,COVINGTON,3342228466,Acute Care Hospitals,1.0
10016,SHELBY BAPTIST MEDICAL CENTER,2105 EAST SOUTH BOULEVARD,ALABASTER,AL,35007,SHELBY,2056208100,Acute Care Hospitals,0.0
10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,FAYETTE,2059325966,Acute Care Hospitals,1.0
10018,CALLAHAN EYE FOUNDATION HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Acute Care Hospitals,1.0
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Acute Care Hospitals,1.0
10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,MONTGOMERY,3342938000,Acute Care Hospitals,0.0
10056,ST VINCENTS HOSPITAL,810 ST VINCENTS DRIVE,BIRMINGHAM,AL,35205,JEFFERSON,2059397000,Acute Care Hospitals,1.0
20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,BETHEL,AK,99559,BETHEL,9075436300,Acute Care Hospitals,1.0
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Acute Care Hospitals,1.0
10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,HOUSTON,3347935000,Acute Care Hospitals,0.0
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Acute Care Hospitals,1.0
10036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,MONTGOMERY,AL,36420,COVINGTON,3342228466,Acute Care Hospitals,0.0
10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,35150,TALLADEGA,2565435200,Acute Care Hospitals,0.0
10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,3343470584,Acute Care Hospitals,0.0
10045,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,35150,TALLADEGA,2562495000,Acute Care Hospitals,0.0
20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,BETHEL,AK,36784,BETHEL,9075436300,Acute Care Hospitals,0.0
10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,FAYETTE,3347742601,Acute Care Hospitals,0.0
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,3342882100,Acute Care Hospitals,0.0
10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,CALHOUN,2562358900,Acute Care Hospitals,0.0
10005,GADSDEN REGIONAL MEDICAL CENTER,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Acute Care Hospitals,0.0
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36302,HOUSTON,3347938701,Acute Care Hospitals,1.0
20017,ALASKA REGIONAL HOSPITAL,4800 48TH ST,ANCHORAGE,AK,99508,ANCHORAGE,9072761131,Acute Care Hospitals,0.0
10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,AUTAUGA,3343614267,Acute Care Hospitals,0.0
10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,JEFFERSON,2563864556,Acute Care Hospitals,1.0
10047,GEORGIANA HOSPITAL,515 MIRANDA ST,GEORGIANA,AL,36033,BUTLER,3343762205,Acute Care Hospitals,0.0
10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,MARION,2054877736,Acute Care Hospitals,1.0
10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,35233,ELMORE,3342836541,Acute Care Hospitals,0.0
10047,GEORGIANA HOSPITAL,515 MIRANDA ST,WEDOWEE,AL,36033,BUTLER,3343762205,Acute Care Hospitals,0.0
10034,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,MARION,2059216200,Acute Care Hospitals,0.0
10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Acute Care Hospitals,0.0
10043,CHILTON MEDICAL CENTER,1010 LAY DAM ROAD,CLANTON,AL,35045,CHILTON,2057552500,Acute Care Hospitals,1.0
10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,AUTAUGA,3343614267,Acute Care Hospitals,1.0
10056,ST VINCENTS HOSPITAL,810 ST VINCENTS DRIVE,BIRMINGHAM,AL,35205,JEFFERSON,2059397000,Acute Care Hospitals,1.0
10044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,MARION,2059216200,Acute Care Hospitals,1.0
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,2564944000,Acute Care Hospitals,1.0
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,3342882100,Acute Care Hospitals,1.0
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Acute Care Hospitals,1.0
10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,CULLMAN,2567372000,Acute Care Hospitals,1.0
10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,CALHOUN,2568453150,Acute Care Hospitals,0.0
10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,99508,FAYETTE,2059325966,Acute Care Hospitals,0.0
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,3342882100,Acute Care Hospitals,1.0
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,ETOWAH,2565435200,Acute Care Hospitals,1.0
10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,MADISON,2562651000,Acute Care Hospitals,1.0
10047,GEORGIANA HOSPITAL,515 MIRANDA ST,GEORGIANA,AL,36033,BUTLER,3343762205,Acute Care Hospitals,1.0
10015,SOUTHWEST ALABAMA MEDICAL CENTER,33700 HIGHWAY 43,THOMASVILLE,AL,36784,CLARKE,3346366221,Acute Care Hospitals,1.0
10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,ELMORE,3342836541,Acute Care Hospitals,1.0
10047,GEORGIANA HOSPITAL,515 MIRANDA ST,GEORGIANA,AL,36033,BUTLER,3343762205,Acute Care Hospitals,1.0
10019,ELIZA COFFEE MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,JEFFERSON,2563864556,Acute Care Hospitals,0.0
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36302,HOUSTON,3347938701,Acute Care Hospitals,0.0
10034,HARTSELLE MEDICAL CENTER,201 PINE STREET NORTHWEST,HARTSELLE,AL,,MORGAN,2567736511,Acute Care Hospitals,0.0
10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,35150,TALLADEGA,2562495000,Acute Care Hospitals,0.0
10009,HARTSELLE MEDICAL CENTER,201 PINE STREET NORTHWEST,HARTSELLE,AL,35640,MORGAN,2567736511,Acute Care Hospitals,1.0
10039,HUNTSVILLE HOSPITAL,8000 ALABAMA HIGHWAY 69,HUNTSVILLE,AL,35801,MADISON,2562651000,Acute Care Hospitals,0.0
10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,ELMORE,3342836541,Acute Care Hospitals,0.0
10087,UNIV OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,MOBILE,AL,36617,MOBILE,2514717110,Acute Care Hospitals,0.0
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,ETOWAH,2567688400,Acute Care Hospitals,0.0
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36302,HOUSTON,3347938701,Acute Care Hospitals,1.0
10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,ELMORE,3342836541,Acute Care Hospitals,1.0
10009,HARTSELLE MEDICAL CENTER,201 PINE STREET NORTHWEST,HARTSELLE,AL,35640,MORGAN,2058383122,Acute Care Hospitals,0.0
10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,CALHOUN,2562358900,Acute Care Hospitals,1.0
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36302,HOUSTON,3347938701,Acute Care Hospitals,1.0
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,3347493411,Acute Care Hospitals,0.0
10008,NORTHWEST MEDICAL CENTER,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Acute Care Hospitals,0.0
10021,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,,Acute Care Hospitals,0.0
10022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,35960,CHEROKEE,2569275531,Acute Care Hospitals,1.0
10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,MARION,2054877736,Acute Care Hospitals,1.0
10010,MARSHALL MEDICAL CENTER NORTH,8000 ALABAMA HIGHWAY 69,GUNTERSVILLE,AL,35976,MARSHALL,2565718000,Acute Care Hospitals,1.0
10022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,35960,CHEROKEE,2569275531,Acute Care Hospitals,1.0
10044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,MARION,2059216200,Acute Care Hospitals,1.0
10009,UNIV OF SOUTH ALABAMA MEDICAL CENTER,201 PINE STREET NORTHWEST,HARTSELLE,AL,35640,MORGAN,2567736511,Acute Care Hospitals,0.0
10027,ELBA GENERAL HOSPITAL,987 DRAYTON STREET,ELBA,AL,36323,COFFEE,3348972257,Acute Care Hospitals,1.0
10015,SOUTHWEST ALABAMA MEDICAL CENTER,33700 HIGHWAY 43,THOMASVILLE,AL,36784,CLARKE,3346366221,Acute Care Hospitals,1.0
10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,3347742601,Acute Care Hospitals,1.0
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,CHAMBERS,2564944000,Acute Care Hospitals,0.0
10043,CHILTON MEDICAL CENTER,1010 LAY DAM ROAD,CLANTON,AL,35045,CHILTON,2057552500,Acute Care Hospitals,0.0
10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Acute Care Hospitals,0.0
20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,ANCHORAGE,9072761131,Acute Care Hospitals,1.0
10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,ELMORE,3342836541,Acute Care Hospitals,1.0
10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,CULLMAN,2567372000,Acute Care Hospitals,1.0
10015,SOUTHWEST ALABAMA MEDICAL CENTER,33700 HIGHWAY 43,THOMASVILLE,AL,36784,SHELBY,3346366221,Acute Care Hospitals,0.0
10018,CALLAHAN EYE FOUNDATION HOSPITAL,200 MED CENTER DRIVE,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Acute Care Hospitals,0.0
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,Acute Care Hospitals,1.0
10055,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,3343470584,Acute Care Hospitals,0.0
